,embed,gemma,llama2,llama3,llama3-70b,mistral,vicuna
99,qa-cos,0.9215011633076726,0.8930309229206597,0.9420665668710356,0.952936245025652,0.9323272730538196,0.871136537031634
100,qa-cos,0.7696206131544837,0.8711852250454282,0.7529684995696373,0.8696307100625276,0.8371385637330109,0.8518472904603897
101,qa-cos,0.4797398299554509,0.6052566334289955,0.6138416687832629,0.6053690785061488,0.5240797764107894,0.6034904579080198
102,qa-cos,0.6564170402245535,0.8657829210273115,0.8889786350445386,0.867515093941165,0.8292307145885767,0.8911246746522533
103,qa-cos,0.7338631302871571,0.8228397776443855,0.8858367109452703,0.8765226206912209,0.8256584526920905,0.8866389611854574
104,qa-cos,0.783787828696473,0.695384088511167,0.8649574190513922,0.8110941417990719,0.7988683247946042,0.8644044975146157
105,qa-cos,0.7780288874727244,0.6824415938011046,0.6736511403262484,0.7214652190673273,0.6470431940619119,0.5052452814257674
106,qa-cos,0.8882897977029707,0.8941133771569174,0.8880096566438005,0.912407452285807,0.8863581528863596,0.8810020621429093
107,qa-cos,0.8565755020161818,0.7637961532612059,0.8619292464160945,0.807379005894556,0.7986293005523638,0.7934519215480595
108,qa-cos,0.5439511701986263,0.8360646091505546,0.5817829390773481,0.5776237775250704,0.6099751111967449,0.632364052902147
109,qa-cos,0.559255617628363,0.7551243852179694,0.746249149345601,0.776805720843551,0.7513575318293155,0.7374792735938341
110,qa-cos,0.8588333595444092,0.8805767921112949,0.8787392099384428,0.9303419874305394,0.9226758351430984,0.7082816520904182
111,qa-cos,0.8816419440932497,0.7680025796177326,0.6589800943656785,0.833323086887691,0.8756661504810637,0.9118302922753908
112,qa-cos,0.8175258670149339,0.921655720027185,0.9477489068635634,0.9236247879366672,0.6734905967945518,0.7719043957167848
113,qa-cos,0.0053881997763503,-0.0667251037885995,-0.061918800247298,-0.0419828559469431,-0.0880488481770359,-0.0326555154883403
114,qa-cos,0.8604694293654356,0.9790959582817428,0.8987497414491521,0.9337699143932318,0.901918496125746,0.9184511786649392
115,qa-cos,0.7748737553948564,0.8587719660292739,0.8726897996415055,0.887150110682472,0.7999702419975744,0.8774472081724605
116,qa-cos,0.7781736994768786,0.8226017369559553,0.8152447191268133,0.8131731395417412,0.8308603143255572,0.831973965374015
117,qa-cos,0.7661286695948167,0.9750922308509606,0.9168064773141674,0.935056177872276,0.8499383292145912,0.8644358100867595
118,qa-cos,0.5369804754451778,0.6849021247317553,0.8380342053273031,0.5288413362116527,0.7257863395569282,0.8301897969420411
119,qa-cos,0.9451009809635688,0.9275263812397424,0.9242190584306404,0.9621268563361212,0.9237257816906694,0.9464789453190596
120,qa-cos,0.9172675621343342,0.9260946269213376,0.926990582580236,0.9201463895936784,0.8591553826599491,0.7022018611458696
121,qa-cos,0.7366067786697184,0.8032586313468374,0.851616695615937,0.8254303903892584,0.6702572617803115,0.8469570150748523
122,qa-cos,0.8120809561101574,0.8467686707279114,0.8406236968902148,0.8166068775635531,0.8086500669155555,0.8980447749637419
123,qa-cos,0.1929378239913156,0.3574338761133538,0.2912805398758371,0.3870450594693737,0.3601870924000093,0.3209275094661756
124,qa-cos,0.8791745126680859,0.8917038912066795,0.928963223325834,0.9514077274074636,0.7656412528109554,0.7774902781119735
125,qa-cos,0.8499128017183668,0.8988238052331267,0.7979522000011765,0.8226683932625366,0.8682480729485174,0.8664033462508383
126,qa-cos,0.7956696859494485,0.8238292336118689,0.7734188689897954,0.8011184595450703,0.7116551198536136,0.5689801346205611
127,qa-cos,0.5650968949018162,0.7883895936911818,0.804216359847563,0.9058404146691182,0.6015059468876276,0.5791278340496964
128,qa-cos,0.5789901443545457,0.6354095107409884,0.9029883640887222,0.8450767373570285,0.7487820049617677,0.1748025823017202
129,qa-cos,0.7274123071259055,0.8026898563673035,0.8428324433296925,0.8342566148531637,0.8781702835578967,0.8326230142075621
130,qa-cos,0.7854352443990723,0.861557469992797,0.7152065074544443,0.7690135858398035,0.8195511401427551,0.6891224630059658
131,qa-cos,0.6077974609068393,0.8028456878356081,0.655250855352811,0.678829707919713,0.5888834873017124,0.7799327233366393
